,CustomerID,Name,Email,Persona,Churn,Churn_Probability
0,15634602,Wyatt Miller,wyatt.miller47@gmail.com,Opportunistic,0,0.0006895678586553292
1,15634603,Kathleen Coleman,kathleen.coleman79@gmail.com,General,0,
2,15634604,Mrs. Suzanne Torres MD,mrs..md62@gmail.com,TechDifficulties,1,
3,15634605,Christian Hoffman,christian.hoffman3@gmail.com,Loyal,0,0.0024014565801919194
4,15634606,Marcus Henson,marcus.henson49@gmail.com,TechDifficulties,0,
5,15634607,Christopher Everett,christopher.everett10@gmail.com,TechDifficulties,1,
6,15634608,Jack Hall,jack.hall78@gmail.com,FinanciallyStrained,1,
7,15634609,Dr. Michelle Gordon DVM,dr..dvm82@gmail.com,FinanciallyStrained,1,
8,15634610,Kathryn Newman,kathryn.newman96@gmail.com,Opportunistic,0,0.004061623843726141
9,15634611,Elizabeth Beck,elizabeth.beck90@gmail.com,TechDifficulties,0,
10,15634612,Thomas Watson,thomas.watson72@gmail.com,General,0,0.007946033638902335
11,15634613,Brittany Henry,brittany.henry61@gmail.com,General,0,
12,15634614,George Costa,george.costa14@gmail.com,Loyal,0,0.0023905015194920173
13,15634615,Lee Rodriguez,lee.rodriguez19@gmail.com,FinanciallyStrained,1,
14,15634616,Garrett Benitez,garrett.benitez65@gmail.com,TechDifficulties,0,0.0011065396670960166
15,15634617,John Murphy,john.murphy21@gmail.com,FinanciallyStrained,0,
16,15634618,Rose Reid,rose.reid84@gmail.com,General,0,
17,15634619,Joshua Hall,joshua.hall98@gmail.com,FinanciallyStrained,0,0.0012653597873632338
18,15634620,Michael Carter,michael.carter8@gmail.com,Loyal,0,
19,15634621,David Miller,david.miller52@gmail.com,CustomerServiceIssues,0,0.05931787079692583
20,15634622,Jodi Burns,jodi.burns3@gmail.com,General,0,0.0006486734289000702
21,15634623,Kenneth Johnson,kenneth.johnson14@gmail.com,Loyal,0,
22,15634624,Jeffrey Mcdonald,jeffrey.mcdonald13@gmail.com,CustomerServiceIssues,1,
23,15634625,Bianca Mckee,bianca.mckee45@gmail.com,Opportunistic,0,0.001047764270392798
24,15634626,Breanna Rodriguez,breanna.rodriguez50@gmail.com,Opportunistic,0,
25,15634627,Brandy Calderon,brandy.calderon20@gmail.com,Opportunistic,0,
26,15634628,Mikayla Norris,mikayla.norris68@gmail.com,Opportunistic,1,
27,15634629,Maria Hanson,maria.hanson53@gmail.com,Opportunistic,0,
28,15634630,Michael Allen,michael.allen50@gmail.com,Loyal,0,
29,15634631,Rhonda Wolf,rhonda.wolf76@gmail.com,Loyal,0,0.002248514499338077
30,15634632,Latasha Bennett,latasha.bennett67@gmail.com,General,0,
31,15634633,Douglas Boyd,douglas.boyd61@gmail.com,TechDifficulties,0,0.00435921314529157
32,15634634,Robert Acevedo,robert.acevedo11@gmail.com,General,0,
33,15634635,Christian Johnson,christian.johnson13@gmail.com,Opportunistic,1,0.99998842881972
34,15634636,Debra Montoya,debra.montoya42@gmail.com,General,0,
35,15634637,Dr. Victoria Lutz,dr..lutz51@gmail.com,Loyal,0,0.0015507240837288971
36,15634638,Jasmine Roberts,jasmine.roberts69@gmail.com,General,0,0.024870555214709683
37,15634639,Susan King,susan.king92@gmail.com,Loyal,0,0.004114744514836876
38,15634640,Stephanie James,stephanie.james39@gmail.com,Loyal,0,
39,15634641,Kendra Douglas,kendra.douglas73@gmail.com,TechDifficulties,1,0.9995301546676836
40,15634642,Ian Diaz,ian.diaz43@gmail.com,TechDifficulties,0,
41,15634643,Stephanie Contreras,stephanie.contreras67@gmail.com,General,0,
42,15634644,David Smith,david.smith17@gmail.com,FinanciallyStrained,1,
43,15634645,Sydney Adams,sydney.adams76@gmail.com,Loyal,0,
44,15634646,Marie Brown,marie.brown6@gmail.com,Loyal,0,
45,15634647,Sean Doyle,sean.doyle38@gmail.com,TechDifficulties,0,
46,15634648,Andrew Gonzalez,andrew.gonzalez13@gmail.com,Loyal,0,
47,15634649,Gina Hartman,gina.hartman75@gmail.com,TechDifficulties,0,0.009618953711204066
48,15634650,Adam Howard,adam.howard37@gmail.com,CustomerServiceIssues,1,
49,15634651,Brian Graham,brian.graham13@gmail.com,Opportunistic,0,
50,15634652,Wendy Sanders,wendy.sanders97@gmail.com,CustomerServiceIssues,1,0.9999972797672902
51,15634653,Connie Jacobs,connie.jacobs29@gmail.com,CustomerServiceIssues,1,
52,15634654,Steven Hawkins,steven.hawkins90@gmail.com,Loyal,0,
53,15634655,Eric Neal,eric.neal61@gmail.com,TechDifficulties,1,
54,15634656,Adam Rocha,adam.rocha77@gmail.com,Loyal,1,
55,15634657,Dr. Joann Hess,dr..hess9@gmail.com,General,0,
56,15634658,Shawn Robinson,shawn.robinson2@gmail.com,Opportunistic,0,
57,15634659,Debra Barron,debra.barron39@gmail.com,General,0,
58,15634660,Cynthia Garcia,cynthia.garcia63@gmail.com,TechDifficulties,1,0.999999999958338
59,15634661,Timothy Riley,timothy.riley31@gmail.com,Loyal,0,0.001189311156057742
60,15634662,Patrick Gray,patrick.gray84@gmail.com,Opportunistic,0,
61,15634663,Alyssa Fisher,alyssa.fisher32@gmail.com,FinanciallyStrained,1,
62,15634664,Angela Scott,angela.scott91@gmail.com,Loyal,0,
63,15634665,Amanda Jarvis,amanda.jarvis32@gmail.com,Opportunistic,1,
64,15634666,Catherine Lester,catherine.lester11@gmail.com,CustomerServiceIssues,1,
65,15634667,Susan Gates,susan.gates90@gmail.com,CustomerServiceIssues,1,
66,15634668,Kayla Ellis,kayla.ellis51@gmail.com,Loyal,1,
67,15634669,Maria Smith,maria.smith72@gmail.com,General,0,
68,15634670,Kara Hill,kara.hill90@gmail.com,General,0,
69,15634671,Theresa Taylor,theresa.taylor50@gmail.com,CustomerServiceIssues,1,
70,15634672,Terry Mcintyre,terry.mcintyre67@gmail.com,Opportunistic,1,
71,15634673,Kyle Moore,kyle.moore17@gmail.com,CustomerServiceIssues,1,
72,15634674,Jill Kelly,jill.kelly68@gmail.com,Opportunistic,0,
73,15634675,Sandra Wilson,sandra.wilson51@gmail.com,FinanciallyStrained,0,
74,15634676,George Sparks,george.sparks35@gmail.com,Loyal,0,
75,15634677,Richard Knight,richard.knight50@gmail.com,TechDifficulties,0,
76,15634678,Ashley Cunningham,ashley.cunningham31@gmail.com,Loyal,0,0.058752664139246964
77,15634679,Robert Sharp,robert.sharp54@gmail.com,CustomerServiceIssues,1,
78,15634680,Patrick Hancock,patrick.hancock65@gmail.com,General,0,
79,15634681,Toni Frost,toni.frost42@gmail.com,Opportunistic,0,
80,15634682,Charles Watson,charles.watson65@gmail.com,Loyal,0,0.019645463701914088
81,15634683,William Montgomery,william.montgomery76@gmail.com,Loyal,0,
82,15634684,Pamela Norris,pamela.norris10@gmail.com,TechDifficulties,0,
83,15634685,Kevin Hurley,kevin.hurley33@gmail.com,CustomerServiceIssues,1,
84,15634686,Frederick Harris,frederick.harris62@gmail.com,CustomerServiceIssues,1,
85,15634687,Michelle Wolf,michelle.wolf13@gmail.com,Loyal,0,
86,15634688,Mark Boyd,mark.boyd66@gmail.com,Opportunistic,0,
87,15634689,Richard Payne,richard.payne37@gmail.com,General,0,
88,15634690,Bonnie Hatfield,bonnie.hatfield38@gmail.com,Loyal,0,0.012697564624661256
89,15634691,Dana Haynes,dana.haynes24@gmail.com,FinanciallyStrained,0,
90,15634692,William Garza,william.garza52@gmail.com,CustomerServiceIssues,1,
91,15634693,William Brown,william.brown8@gmail.com,FinanciallyStrained,0,
92,15634694,Adam Burns,adam.burns94@gmail.com,Loyal,1,1.0
93,15634695,Tammy Finley,tammy.finley32@gmail.com,Loyal,0,0.002583658094659266
94,15634696,Laura Scott,laura.scott7@gmail.com,CustomerServiceIssues,0,
95,15634697,Paige Price,paige.price41@gmail.com,Opportunistic,0,0.002570912533411097
96,15634698,Juan Brown,juan.brown12@gmail.com,CustomerServiceIssues,1,0.9999999999999998
97,15634699,Brett Henderson,brett.henderson85@gmail.com,FinanciallyStrained,1,
98,15634700,Zachary Jones,zachary.jones1@gmail.com,TechDifficulties,0,
99,15634701,Cheryl Rodriguez,cheryl.rodriguez13@gmail.com,TechDifficulties,0,
100,15634702,Austin Jackson,austin.jackson36@gmail.com,Loyal,1,
101,15634703,Barry Adams,barry.adams89@gmail.com,FinanciallyStrained,0,0.0019249616057355012
102,15634704,Richard Shah,richard.shah76@gmail.com,FinanciallyStrained,1,
103,15634705,Manuel Harris,manuel.harris91@gmail.com,Loyal,0,0.001064125449457682
104,15634706,Jeffrey Whitney,jeffrey.whitney7@gmail.com,TechDifficulties,0,
105,15634707,Jeremy Pena,jeremy.pena64@gmail.com,Opportunistic,0,
106,15634708,Jennifer Pena,jennifer.pena63@gmail.com,Opportunistic,0,0.0015135970055946612
107,15634709,Rebecca Page,rebecca.page90@gmail.com,Opportunistic,1,0.9999999999999989
108,15634710,Allison Hoover,allison.hoover6@gmail.com,General,0,0.002325658809927494
109,15634711,Mark Garcia,mark.garcia61@gmail.com,General,0,
110,15634712,Jennifer Grant,jennifer.grant76@gmail.com,General,0,
111,15634713,Leonard Gonzalez,leonard.gonzalez38@gmail.com,General,0,
112,15634714,Daniel Kim,daniel.kim77@gmail.com,Loyal,0,
113,15634715,Mike Mayer,mike.mayer88@gmail.com,CustomerServiceIssues,1,
114,15634716,Nicholas Lawson,nicholas.lawson69@gmail.com,CustomerServiceIssues,0,
115,15634717,Mark Morrison,mark.morrison61@gmail.com,CustomerServiceIssues,1,
116,15634718,Allen Adams,allen.adams18@gmail.com,Loyal,0,
117,15634719,Jeremy Brown,jeremy.brown99@gmail.com,General,0,
118,15634720,Yolanda Munoz,yolanda.munoz28@gmail.com,Loyal,0,
119,15634721,Ashley Russell,ashley.russell70@gmail.com,Loyal,0,0.001208426895695375
120,15634722,Edwin Johnston,edwin.johnston79@gmail.com,TechDifficulties,1,
121,15634723,Kristen Cooper MD,kristen.md26@gmail.com,Loyal,0,
122,15634724,Matthew Barrett,matthew.barrett9@gmail.com,Loyal,0,
123,15634725,Daniel Johnson,daniel.johnson51@gmail.com,CustomerServiceIssues,1,
124,15634726,Robert Lin,robert.lin21@gmail.com,CustomerServiceIssues,0,
125,15634727,Ryan Allen,ryan.allen46@gmail.com,Loyal,0,
126,15634728,Christina Chen,christina.chen75@gmail.com,Opportunistic,0,
127,15634729,April Coleman,april.coleman5@gmail.com,Loyal,0,
128,15634730,Kenneth Chambers,kenneth.chambers83@gmail.com,General,0,
129,15634731,Amanda Mendoza,amanda.mendoza28@gmail.com,General,0,
130,15634732,Charles Nichols,charles.nichols66@gmail.com,General,0,
131,15634733,Brian Brown,brian.brown23@gmail.com,General,0,0.000542578421946979
132,15634734,Bradley Bishop,bradley.bishop96@gmail.com,FinanciallyStrained,0,0.002886736345333693
133,15634735,Matthew Mcdonald,matthew.mcdonald11@gmail.com,Loyal,0,
134,15634736,William Flynn,william.flynn50@gmail.com,Opportunistic,1,
135,15634737,Charles Taylor,charles.taylor81@gmail.com,FinanciallyStrained,0,0.0029232915842444473
136,15634738,Amanda Bray,amanda.bray56@gmail.com,General,0,
